Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
BN12 5LY,Yes,50.810689,-0.450749,509249,102381,TQ092023,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5LZ,Yes,50.810156,-0.452612,509119,102319,TQ091023,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5NA,Yes,50.810799,-0.449595,509330,102395,TQ093023,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5NB,Yes,50.809236,-0.450399,509277,102220,TQ092022,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5ND,Yes,50.80732,-0.451683,509191,102005,TQ091020,"Ferring","Ferring",1980-01-01,,5,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NE,Yes,50.808009,-0.450057,509304,102084,TQ093020,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NF,Yes,50.807748,-0.450775,509254,102054,TQ092020,"Ferring","Ferring",1980-01-01,,5,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NG,Yes,50.806963,-0.453271,509080,101963,TQ090019,"Ferring","Ferring",1980-01-01,,5,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NH,Yes,50.808271,-0.447493,509484,102117,TQ094021,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NJ,Yes,50.810117,-0.447631,509470,102322,TQ094023,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5NL,Yes,50.807616,-0.448882,509388,102042,TQ093020,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NN,Yes,50.807943,-0.447121,509511,102081,TQ095020,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NP,Yes,50.809105,-0.446642,509542,102211,TQ095022,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NQ,Yes,50.80676,-0.451475,509207,101943,TQ092019,"Ferring","Ferring",1980-01-01,,5,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NR,Yes,50.808303,-0.444455,509698,102125,TQ096021,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NS,Yes,50.807746,-0.443139,509792,102065,TQ097020,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NT,Yes,50.811586,-0.449938,509304,102482,TQ093024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5NU,Yes,50.811586,-0.449938,509304,102482,TQ093024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5NW,Yes,50.808674,-0.446018,509587,102164,TQ095021,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5NY,Yes,50.806668,-0.447944,509456,101938,TQ094019,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5NZ,Yes,50.806845,-0.44842,509422,101957,TQ094019,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PA,Yes,50.807084,-0.446823,509534,101986,TQ095019,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PB,Yes,50.805513,-0.446336,509572,101812,TQ095018,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PD,Yes,50.805187,-0.447524,509489,101774,TQ094017,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PE,Yes,50.804185,-0.447217,509513,101663,TQ095016,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PF,Yes,50.803394,-0.446619,509557,101576,TQ095015,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PG,Yes,50.804153,-0.446168,509587,101661,TQ095016,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PH,Yes,50.804651,-0.445059,509664,101718,TQ096017,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PJ,Yes,50.805381,-0.444552,509698,101800,TQ096017,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PL,Yes,50.804038,-0.442297,509860,101654,TQ098016,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PN,Yes,50.80594,-0.443313,509784,101864,TQ097018,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PP,Yes,50.803315,-0.444053,509738,101571,TQ097015,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5PQ,Yes,50.803892,-0.445495,509635,101633,TQ096016,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
